strategy,ticker,weight_pct,sharpe_ratio,annual_return,annual_volatility,beta,alpha,max_drawdown,portfolio_return,portfolio_volatility,portfolio_sharpe
Aggressive_Growth_10,SOBO.TO,17.26017809257787,1.186416776774297,42.168410234292615,31.74972823353679,0.7937791741178238,35.23140238393738,-19.241321157725974,53.03636868082561,18.590777666417235,2.610776673882917
Aggressive_Growth_10,CSU.TO,0.0,1.120908335141268,33.00568734189326,25.43088176634951,0.4578235425806675,27.10010805268288,-29.32781433164137,53.03636868082561,18.590777666417235,2.610776673882917
Aggressive_Growth_10,DOL.TO,25.56720858305848,1.0434800003487563,28.3974884628127,22.90172159967185,0.5190108892497144,22.304055864978302,-45.06687515189927,53.03636868082561,18.590777666417235,2.610776673882917
Aggressive_Growth_10,DFY.TO,6.6356676394019,1.0389689980509966,28.831368598772283,23.41876287397943,0.5707386208848433,22.57912497113734,-19.7258985012005,53.03636868082561,18.590777666417235,2.610776673882917
Aggressive_Growth_10,SHOP.TO,14.181938360156613,0.9247921933602586,58.10554611081253,57.96496390830816,1.6062734944441281,48.6740724171013,-83.47057237538868,53.03636868082561,18.590777666417235,2.610776673882917
Aggressive_Growth_10,BAM.TO,0.0,0.8183143467287194,28.91189662396859,29.83193038415764,1.5713935520832016,19.587509001705357,-30.460775099776864,53.03636868082561,18.590777666417235,2.610776673882917
Aggressive_Growth_10,WSP.TO,0.0,0.8046170718466795,23.550130306076753,23.67602052284912,0.8947905084174145,16.303004197785942,-37.109617632298374,53.03636868082561,18.590777666417235,2.610776673882917
Aggressive_Growth_10,TPZ.TO,5.555166484859946e-14,0.7544497319663996,22.71859755015425,24.14819275323918,0.9643243314484665,15.257993338485115,-24.752406673041378,53.03636868082561,18.590777666417235,2.610776673882917
Aggressive_Growth_10,NXE.TO,0.0,0.7500688792680343,51.1742181153846,62.22657599250393,1.5028855534713812,42.060159178822495,-80.99762459211169,53.03636868082561,18.590777666417235,2.610776673882917
Aggressive_Growth_10,TFPM.TO,36.35500732480526,0.7290374240425729,29.867850471920537,34.796362484731866,0.6142680565949388,23.481965675550057,-35.41853166635943,53.03636868082561,18.590777666417235,2.610776673882917
Balanced_Growth_15,SOBO.TO,14.118852156305373,1.186416776774297,42.168410234292615,31.74972823353679,0.7937791741178238,35.23140238393738,-19.241321157725974,58.34258980118311,19.643746958067894,2.7409531346599527
Balanced_Growth_15,CSU.TO,4.154692258821126e-14,1.120908335141268,33.00568734189326,25.43088176634951,0.4578235425806675,27.10010805268288,-29.32781433164137,58.34258980118311,19.643746958067894,2.7409531346599527
Balanced_Growth_15,DOL.TO,20.660720116527013,1.0434800003487563,28.3974884628127,22.90172159967185,0.5190108892497144,22.304055864978302,-45.06687515189927,58.34258980118311,19.643746958067894,2.7409531346599527
Balanced_Growth_15,DFY.TO,1.288436779266575,1.0389689980509966,28.831368598772283,23.41876287397943,0.5707386208848433,22.57912497113734,-19.7258985012005,58.34258980118311,19.643746958067894,2.7409531346599527
Balanced_Growth_15,SHOP.TO,13.391456068559208,0.9247921933602586,58.10554611081253,57.96496390830816,1.6062734944441281,48.6740724171013,-83.47057237538868,58.34258980118311,19.643746958067894,2.7409531346599527
Balanced_Growth_15,BAM.TO,4.209454985857831e-15,0.8183143467287194,28.91189662396859,29.83193038415764,1.5713935520832016,19.587509001705357,-30.460775099776864,58.34258980118311,19.643746958067894,2.7409531346599527
Balanced_Growth_15,WSP.TO,1.3570796209039112e-14,0.8046170718466795,23.550130306076753,23.67602052284912,0.8947905084174145,16.303004197785942,-37.109617632298374,58.34258980118311,19.643746958067894,2.7409531346599527
Balanced_Growth_15,TPZ.TO,3.803424231720917e-15,0.7544497319663996,22.71859755015425,24.14819275323918,0.9643243314484665,15.257993338485115,-24.752406673041378,58.34258980118311,19.643746958067894,2.7409531346599527
Balanced_Growth_15,NXE.TO,2.090738224453063e-14,0.7500688792680343,51.1742181153846,62.22657599250393,1.5028855534713812,42.060159178822495,-80.99762459211169,58.34258980118311,19.643746958067894,2.7409531346599527
Balanced_Growth_15,TFPM.TO,26.174214859641896,0.7290374240425729,29.867850471920537,34.796362484731866,0.6142680565949388,23.481965675550057,-35.41853166635943,58.34258980118311,19.643746958067894,2.7409531346599527
Balanced_Growth_15,FSV.TO,7.669004060500428e-15,0.7037879851158217,34.62779731968385,42.80805861544474,0.825005729214142,27.59491978366465,-42.78970312956043,58.34258980118311,19.643746958067894,2.7409531346599527
Balanced_Growth_15,KXS.TO,0.11906852350629829,0.6979159512674435,30.380465624104946,37.082496219071906,0.8162638608356615,23.374426789023957,-47.60803335593848,58.34258980118311,19.643746958067894,2.7409531346599527
Balanced_Growth_15,TSU.TO,1.797148573784101e-14,0.6930882733492928,28.02808453509631,33.946735848521506,0.8100323167815328,21.041177370730445,-40.06140920934329,58.34258980118311,19.643746958067894,2.7409531346599527
Balanced_Growth_15,OLA.TO,10.367526796323684,0.6909357746341971,42.30085697862177,54.70965372814097,0.6529281769716034,35.79628046051606,-56.60639971169601,58.34258980118311,19.643746958067894,2.7409531346599527
Balanced_Growth_15,STN.TO,13.879724699869996,0.6628885812682829,24.09080779962608,29.55369628202621,0.5723931417985338,17.833484572290477,-58.11121559196321,58.34258980118311,19.643746958067894,2.7409531346599527
Diversified_20,SOBO.TO,10.601275281828189,1.186416776774297,42.168410234292615,31.74972823353679,0.7937791741178238,35.23140238393738,-19.241321157725974,64.44668344225587,20.595687411690047,2.9106425167547614
