ticker,start_date,end_date,days_of_data,total_return,annual_return,daily_return_mean,daily_return_median,daily_volatility,annual_volatility,downside_deviation,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,ulcer_index,var_95,cvar_95,var_99,cvar_99,skewness,kurtosis,current_price,high_52w,low_52w,beta,alpha,information_ratio
AAV.TO,2009-10-29,2025-10-03,3998,66.33940345465506,13.867076802636383,0.05502808255014438,0.0,2.9161121347405015,46.29184502220627,29.674423037738162,0.20234831422560456,0.31566163192874525,-89.88212239182259,0.1542807004732901,45.43111863834044,-4.347825760265529,-6.108410922814258,-6.9789238815883365,-9.173870761699597,0.4310892725875368,6.976888262736752,11.859999656677246,12.75,7.809999942779541,1.4714520827589812,4.849522810254964,0.15440286463219208
ABX.TO,1995-01-12,2025-10-03,7723,114.99600921775475,10.315157918222068,0.040933166342151064,0.0,2.4979980760695146,39.65449010878647,25.936667239678616,0.1466456358982049,0.22420605795203638,-84.43225949995285,0.1221708145596628,42.444790261416216,-3.5864916511446188,-5.371055521178962,-6.492960609347734,-8.688282586028057,0.4888827177589286,7.625473222088324,47.369998931884766,49.91999816894531,21.37202578953225,0.7174013768196902,3.612640084331743,0.06360853396550797
AC.TO,2010-03-30,2025-10-03,3892,726.1261223527619,24.42544395798058,0.09692636491262135,0.0,2.9303853537224938,46.518425349214574,31.29033614893768,0.4283344461554739,0.6367922627337149,-78.86598018913716,0.3097082404783817,45.270045189227716,-3.980750502566814,-6.251212604808712,-7.740889814195123,-10.568581766744584,0.5910299822997925,11.618072961788599,18.34000015258789,26.18000030517578,12.6899995803833,1.2197631746152398,16.180608455820714,0.39935800345301947
AEM.TO,1995-01-12,2025-10-03,7723,2048.278292599485,20.569097268154746,0.08162340185775693,0.0,2.898871194981055,46.01815358837102,30.54466219444451,0.34919039585750516,0.5260852834403718,-84.41598976944202,0.24366352067106378,40.141879372900846,-4.181278789844976,-6.22147967119206,-7.266700317637327,-9.860709383305192,0.28376058521148584,5.79640578742743,236.30999755859372,238.97000122070312,103.40964133437542,0.7901535078642258,13.643220696385402,0.2865442340489307
AGI.TO,2003-10-09,2025-10-03,5521,2754.6372017987655,29.937051466795488,0.11879782328093448,0.0,3.4203934654728867,54.29706297378989,35.46128509025061,0.4684793260194273,0.717318940981891,-82.84376182302987,0.3613676009878301,40.37349761407662,-4.8936982376818605,-7.307537512327647,-8.330393621828087,-11.78623755430575,0.4902638767668605,6.90868839568372,47.43999862670898,49.59999847412109,24.373008589631077,1.0289264595288155,22.27811011248661,0.4309394905357147
AG.TO,1996-08-08,2025-10-03,7326,4796.010552611628,101.61427167621446,0.40323123681037487,0.0,12.907620525284402,204.90212356497258,84.08241229188144,0.4739544421823448,1.1549891235172294,-97.916666142659,1.0377627801192524,58.43768839695073,-8.33332599722546,-15.573890278395291,-19.999987926863692,-26.95565926585408,46.82149730583605,3223.839205575375,16.920000076293945,18.09000015258789,7.382533778956131,1.16550607468658,93.53601270160156,0.46076706312397814
AIF.TO,2008-07-23,2025-10-03,4316,702.7093111291884,18.697383783445723,0.07419596739462589,0.0,2.2741086716770957,36.10035599755819,27.908430135966867,0.39327545092369803,0.5087130918606886,-80.23677800038112,0.23302759967949996,26.896314837855442,-2.7854835135589973,-5.070168152688707,-6.204292043752909,-9.82108139827608,0.14625139655747454,17.664055698741116,62.33000183105469,62.369998931884766,46.10970652108035,0.572607839063532,12.439401406894177,0.3496247233563819
ALA.TO,2004-05-17,2025-10-03,5369,396.5867533301463,11.014083510354252,0.043706680596643864,0.04016321600127659,1.6521577964245588,26.22719193585517,21.78702417063469,0.24837136687320518,0.29898913497026186,-74.97436362286194,0.14690466151546935,28.75124349686777,-2.2595464843455084,-3.8042785533191146,-4.2729640414193115,-7.275496234517918,-0.974441914414613,27.832093748282265,43.43999862670898,43.810001373291016,31.26001493562852,0.7523374365704842,4.2043073171503496,0.14502055545573883
AQN.TO,2003-10-09,2025-10-03,5521,292.9419733631764,10.598737222558833,0.04205848104190013,0.0,1.8023914560431578,28.612077347266805,25.441079489461426,0.21315254913294232,0.2397200647513853,-78.55237713751842,0.13492573501631988,27.940612673970797,-2.3351806713046352,-3.9937882294239517,-4.5376967844965765,-7.8013118366784635,-3.1806327163346513,99.38501942354708,8.079999923706055,8.36002164079275,5.815315121487544,0.6656668419684713,4.055051305249107,0.10606561289398324
ARX.TO,1996-08-13,2025-10-03,7323,4433.877399109833,19.105109731126248,0.07581392750446923,0.046454534358786326,2.1765302019368056,34.55134581207589,25.002284605518415,0.422707405105525,0.5841510070604772,-89.07969567673149,0.21447210372673842,30.739313933824015,-3.2823496622209167,-4.92687453003078,-5.69259231078989,-8.03012486250643,0.03342608895989419,7.212785948717054,26.43000030517578,31.12262387526277,21.87994021271896,0.9824537154075205,11.588845894625782,0.37895467212991313
ASTL.TO,2021-10-20,2025-10-03,994,-65.02436746462996,-15.944680131306141,-0.0632725402035958,-0.18434584843880497,2.9230633824764354,46.40219265907156,28.759708019346363,-0.44059728559635725,-0.7108792661439126,-72.59190191421972,-0.21964819368071695,34.96048690562679,-4.252740490518838,-6.157859415109273,-7.150020435880973,-9.903504633320747,0.42813117114234733,4.032796933046327,4.619999885559082,16.48536106663615,4.199999809265137,1.3783378706621034,-24.67636108335248,-0.6066918523152138
